T,TM,Tm,SLP,H,VV,V,VM,PM2.5,SO2,NO2,PM10,Class,NumClass
11.5,16.7,8.4,1015.7,82,1.3,13.5,22.2,167.4,4,44,196,Very Poor,5
10.8,14.6,7.8,1016,81,1,11.1,18.3,142,4,52,227,Very Poor,5
9.7,14.7,6,1018.8,86,0.6,3.7,13,25.7,6,98,262,Poor,4
8.3,14.7,3.7,1018.4,82,0.8,7.8,14.8,29.9,4,33,156,Moderate,3
8.6,13,4.2,1017.7,83,0.8,7.6,16.5,40.9,4,53,198,Moderate,3
8.8,14.5,5.3,1018.5,82,0.8,6.7,14.8,188.2,11,75,199,Very Poor,5
9.2,15.6,4.3,1016.7,83,0.5,3,7.6,21.6,19,90,193,Moderate,3
7.6,15.6,4.3,1015.3,91,0.2,4.6,11.1,155.5,4,39,215,Very Poor,5
7.8,11,5,1016.9,91,0.3,8.7,13,263.2,4,47,129,Sever,6
9.5,15.6,4.7,1015.7,78,1.1,12,18.3,198.2,4,53,171,Very Poor,5
11.8,19.2,4.6,1013.8,67,1.1,7.2,18.3,295.8,5,68,139,Sever,6
12,21.3,3.9,1012.8,70,1,3.7,14.8,32.6,2,36,175,Moderate,3
13.9,24.6,5.3,1012.7,77,0.5,0.9,3.5,71.1,10,43,165,Moderate,3
16.4,24.3,9.3,1011.3,75,0.8,3.1,11.1,282,4,46,255,Sever,6
14.8,24.3,10,1014.1,60,1.6,13.5,27.8,292.1,5,67,232,Sever,6
12.7,21.3,9,1014.9,63,1.6,16.9,33.5,157.8,4,39,94,Very Poor,5
12.9,20.1,7.5,1012.7,60,1.8,10.4,24.1,282.8,4,45,80,Sever,6
12.8,22.7,4.4,1012.8,60,1.4,2.4,5.4,56.8,5,51,155,Moderate,3
12.9,22.7,6.1,1013.4,61,1.6,9.4,22.2,73.9,2,43,51,Moderate,3
13.1,21.2,6.5,1016.5,61,1.4,4.4,14.8,77,4,48,65,Moderate,3
14.3,23.5,6.1,1015.9,64,1.4,3.5,14.8,131.9,5,58,417,Very Poor,5
16.3,24,8.6,1015.8,69,1.6,2.6,7.6,26.19,5,50,210,Moderate,3
14.9,24,8.8,1017.6,70,1.3,3.5,13,57,4,49,315,Poor,4
13.9,22.6,8.8,1018,69,1.4,5.4,16.5,217.9,5,46,529,Sever,6
14.3,23,7.2,1020.6,61,1.8,3,9.4,92.4,20,135,590,Sever,6
12.8,22.6,7,1019.4,72,1.1,6.1,14.8,87.4,5,62,387,Very Poor,5
13.9,21.7,6,1016.6,57,1.6,3.1,9.4,151.3,5,57,511,Sever,6
13.9,23.3,5.5,1015.8,68,0.8,1.9,9.4,58.49,9,70,420,Very Poor,5
15.4,22.4,9.1,1017.4,69,0.8,0.7,5.4,278.43,23,94,508,Sever,6
15,22.4,8.2,1018.2,67,1.3,6.1,14.8,469.61,4,54,375,Sever,6
14.7,22.1,8.1,1017.1,65,1.4,8.3,22.2,190.5,5,43,264,Very Poor,5
16.6,24.1,8.6,1017,61,1.6,5.4,18.3,134.5,4,63,293,Very Poor,5
17.1,26,9.3,1016.7,67,1.1,3.1,9.4,143.6,4,52,259,Very Poor,5
18.1,28.4,11.2,1014.8,66,1.1,1.1,5.4,161.8,6,69,301,Very Poor,5
18.6,29.8,11.1,1012.3,77,1.1,0.7,5.4,294.7,8,72,306,Sever,6
20.8,29.8,13.4,1011.2,72,1.3,7.2,13,160.3,22,108,252,Very Poor,5
21.1,26.2,14.6,1008.9,69,1.4,4.4,9.4,34.5,5,42,331,Poor,4
16.8,23.8,11.7,1011.6,70,1.4,8.5,16.5,149.2,5,81,255,Very Poor,5
15.8,23.8,9.3,1011.6,59,2.6,11.1,25.9,194.2,15,104,212,Very Poor,5
15.9,23.5,9.5,1013.9,65,1.6,6.7,16.5,297.6,5,41,225,Sever,6
16.5,24.8,9.1,1014.8,69,1.4,7.8,14.8,53.19,4,55,284,Poor,4
17,26.8,8.9,1011.5,75,1.4,5.4,14.8,151.33,11,107,431,Sever,6
