Seq,Type,depth,ph,conductivity,carbon,nitrogen,phosphorus,potassium,WHC,porosity,class
1,KGRFB-Teak,2,5.6,160,0.76,49.4,52.42,399,46.9,47.2,2
2,K Ghat Sal Forest,2,5.6,60,0.76,49.4,52.42,349,59.65,51.45,2
3,KGRFB-Teak,2,5.65,160,0.78,48.77,50.14,390,47.2,46.3,2
4,KGRFB-Teak,2,5.65,155,0.77,50.4,48.32,400,47.4,46.8,2
5,K Ghat Sal Forest,2,5.65,55,0.765,50.4,48.32,400,55.03,44.95,2
6,KGRFB-Teak,2,5.7,165,0.8,46.5,49.67,380,46.85,46.5,2
7,K Ghat Teak Forest,4,5.7,95,0.86,48.5,46,1700,44.08,57.72,2
8,KGRFB-Mix,4,5.7,95,0.86,48.5,46,1730,43,38.9,2
9,KGRFB-Teak,4,5.7,75,0.23,39.2,41.6,340,41.32,40.3,2
10,K Ghat Sal Forest,2,5.7,65,0.8,46.5,49.67,430,52.65,46.8,2
11,K Ghat Sal Forest,4,5.7,45,0.225,39.2,41.6,400,42.23,47.4,2
12,KGRFB-Teak,3,5.72,90,0.59,39.2,30.88,365,43.2,43.2,2
13,KGRFB-Mix,4,5.72,90,0.84,51.2,46,1760,43.1,39,2
14,K Ghat Teak Forest,4,5.72,85,0.82,54.7,47.8,1650,42.8,54.5,2
15,KGRFB-Mix,4,5.72,85,0.82,54.7,47.8,1740,43.4,39.3,2
16,K Ghat Sal Forest,3,5.72,50,0.585,39.2,30.88,400,39.23,38.42,2
17,KGRFB-Teak,3,5.75,95,0.65,41.8,34.68,320,44.3,43.6,2
18,KGRFB-Mix,4,5.75,90,0.83,50.4,44.48,1770,43.2,38.7,2
19,K Ghat Teak Forest,4,5.75,90,0.825,50.4,44.48,1900,59.24,54.4,2
20,K Ghat Sal Forest,3,5.75,55,0.65,41.8,34.68,320,45.86,32.25,2
21,KGRFB-Teak,3,5.76,90,0.62,39.4,32.93,340,43,43,2
22,KGRFB-Mix,3,5.78,100,1.25,72.8,48.64,1910,47.3,41.6,2
23,K Ghat Teak Forest,3,5.78,100,1.25,72.8,48.64,2000,63.09,51.02,2
24,KGRFB-Teak,4,5.78,70,0.26,37.33,41.67,330,41.45,40.7,2
