Seq,Type,depth,ph,conductivity,carbon,nitrogen,phosphorus,potassium,WHC,porosity,class
1,Bixa,1,9.8,471,0.6,44,11,205,32.5,32,Nolowfertile
2,Bixa,1,9.55,475,0.57,42,12,200,31.4,34,Nolowfertile
3,Bixa,1,9.75,485,0.5,43,11.2,195,33.3,33,Nolowfertile
4,Bixa,2,10.3,530,0.09,26,12,155,30.5,32,Nolowfertile
5,Bixa,2,10.33,526,0.11,24,12.5,160,32.7,33,Nolowfertile
6,Bixa,2,10.2,540,0.08,28,13.5,165,27.6,30,Nolowfertile
7,Bixa,1,8.7,160,0.61,56,17,200,49.5,42,Nolowfertile
8,Bixa,1,8.9,145,0.6,54,15,195,52,47,Nolowfertile
9,Bixa,1,9.1,151,0.64,53,16,196,50.6,46,Nolowfertile
10,Bixa,2,9.7,210,0.12,33,19.5,153,42.5,40,Nolowfertile
11,Bixa,2,9.66,211,0.19,30,20,160,45.7,39,Nolowfertile
12,Bixa,2,9.5,200,0.15,31,20.5,158,45.3,41,Nolowfertile
13,Bixa,1,8.6,120,0.77,62,21,185,43.3,39,Nolowfertile
14,Bixa,1,8.6,115,0.66,58,20,190,42.7,37,Nolowfertile
15,Bixa,1,8.65,110,0.78,63,19,195,40.5,37,Nolowfertile
16,Bixa,2,8.9,140,0.23,40,26,145,36.7,37,Nolowfertile
17,Bixa,2,8.8,135,0.21,42,25,140,36.3,35,Nolowfertile
18,Bixa,2,8.8,145,0.23,37,27,138,39.2,38,Nolowfertile
19,Sodic,1,9.85,480,0.25,32.4,12.23,250,40.53,37.59,Nolowfertile
20,Sodic,1,9.8,475,0.26,37.6,11.46,252,41.2,37.57,Nolowfertile
21,Sodic,1,9.78,490,0.24,36.73,11.77,260,40.52,36.7,Nolowfertile
22,Sodic,1,9.79,507,0.25,40.17,11.06,262,41.15,36.88,Nolowfertile
23,Sodic,2,10.28,725,0.12,22.58,9.82,195,42.15,34.18,Nolowfertile
24,Sodic,2,10.37,720,0.14,25.33,10.27,202,43.2,33.63,Nolowfertile
25,Sodic,2,10.23,735,0.12,23.37,10.64,203,42.55,33.9,Nolowfertile
26,Sodic,2,10.33,748,0.11,25.77,10.31,200,42.88,33.73,Nolowfertile
27,grassland,1,8.4,355,0.78,87.45,43.9,443.5,41.34,40.55,Nolowfertile
28,grassland,1,8.25,365,0.75,85.5,42.56,447.5,42.2,40.4,Nolowfertile
29,grassland,1,8.45,380,0.76,83.1,40.64,445,41.54,40.4,Nolowfertile
30,grassland,1,8.38,360,0.8,99.5,42.58,456,42.02,40.4,Nolowfertile
31,grassland,2,8.9,480,0.39,43.95,35.21,305,41.75,37.4,Nolowfertile
32,grassland,2,8.83,485,0.36,49.2,34.56,308,42.7,36.85,Nolowfertile
33,grassland,2,8.93,495,0.42,42,33.41,310,42.04,37.65,Nolowfertile
34,grassland,2,8.9,500,0.43,64.22,33.2,313,42.45,37.58,Nolowfertile
35,Agriculture,1,8.45,315,0.43,38.25,31.85,449,41.75,40.98,Nolowfertile
36,Agriculture,1,8.4,317,0.45,42.27,30.99,440,42.7,40.47,Nolowfertile
37,Agriculture,1,8.43,318,0.47,43.53,30.86,444,42.04,40.57,Nolowfertile
38,Agriculture,1,8.48,322,0.5,40.33,30.47,447,42.45,40.85,Nolowfertile
39,Agriculture,2,9,400,0.17,25.77,27.03,320,41.61,37.89,Nolowfertile
40,Agriculture,2,8.92,385,0.2,28.47,25.45,321,42.53,37.65,Nolowfertile
41,Agriculture,2,8.77,365,0.19,29.2,26.27,318,41.87,37.83,Nolowfertile
42,Agriculture,2,8.88,390,0.24,26.83,25.4,325,42.3,38.12,Nolowfertile
43,Horticulture,1,8.1,270,0.61,67.73,40,460,41.7,44.4,Nolowfertile
44,Horticulture,1,8.23,312,0.66,71.07,40.08,457,42.64,44.4,Nolowfertile
45,Horticulture,1,8.28,278,0.6,67.2,39.4,468,41.99,43.8,Nolowfertile
46,Horticulture,1,8.18,300,0.63,70.25,39.72,471,42.4,44.27,Nolowfertile
47,Horticulture,2,8.58,420,0.34,48.53,33.52,370,41.69,41.2,Nolowfertile
48,Horticulture,2,8.82,430,0.38,47.87,35.07,358,42.63,41.23,Nolowfertile
49,Horticulture,2,8.77,408,0.33,47.13,34.59,364,41.97,41.27,Nolowfertile
50,Horticulture,2,8.78,410,0.39,49.55,33.84,372,42.38,41.27,Nolowfertile
51,Bambooculture,1,7,170,1.02,94.8,27,385,43.56,47.8,Nolowfertile
52,Bambooculture,1,7.1,220,0.95,101,26.3,400,42.85,47.4,Nolowfertile
53,Bambooculture,1,7.18,230,1.08,107,27.14,381,42.4,47,Nolowfertile
54,Bambooculture,1,7.13,200,1.1,105,26.5,390,43,47.6,Nolowfertile
55,Bambooculture,2,7.7,250,0.71,51.8,23,350,45.6,45.2,Nolowfertile
56,Bambooculture,2,7.6,270,0.75,56,22.2,340,46.2,44.8,Nolowfertile
57,Bambooculture,2,7.4,280,0.69,54.6,22,324,45.2,45.3,Nolowfertile
58,Bambooculture,2,7.5,260,0.78,55.7,22.5,330,45.8,45,Nolowfertile
59,Silviculture,1,8.15,370,0.69,58.36,25.2,422,43.62,45.33,Nolowfertile
60,Silviculture,1,8.2,363,0.7,56.67,26.69,424,43.89,46.31,Nolowfertile
61,Silviculture,1,8.12,372,0.67,59.6,25.09,416,43.19,45.44,Nolowfertile
62,Silviculture,1,8.14,375,0.68,55.11,24.98,430,43.73,45.43,Nolowfertile
63,Silviculture,2,8.76,610,0.29,36.87,20.89,322,44.26,42.47,Nolowfertile
64,Silviculture,2,8.7,605,0.26,37.22,19.83,325,44.31,42.48,Nolowfertile
65,Silviculture,2,8.74,618,0.28,35.24,18.07,339,43.6,42.77,Nolowfertile
66,Silviculture,2,9.01,627,0.25,34.49,18.28,330,44.18,42.41,Nolowfertile
67,S N Mix Forest,1,8.08,325,0.98,77.67,34.09,424,43.4,47.91,Nolowfertile
68,S N Mix Forest,1,8.02,328,0.92,77.25,34.08,419,43.75,47.65,Nolowfertile
69,S N Mix Forest,1,8.1,317,0.97,76.93,34.35,415,43.06,47.32,Nolowfertile
70,S N Mix Forest,1,8.05,330,0.96,76.43,35.07,422,43.58,47.57,Nolowfertile
71,S N Mix Forest,2,8.65,470,0.32,53.76,24.25,300,43.69,44.51,Nolowfertile
72,S N Mix Forest,2,8.63,475,0.29,53.34,23.82,295,43.94,44.56,Nolowfertile
73,S N Mix Forest,2,8.6,455,0.31,52.88,23.81,306,43.23,44.6,Nolowfertile
74,S N Mix Forest,2,8.58,460,0.3,53.94,24.09,303,43.78,44.5,Nolowfertile
75, Eucalyptus ,1,8.57,340,0.66,45.2,19.8,300,45.6,42,Nolowfertile
76, Eucalyptus ,1,8.6,345,0.6,51.2,19.32,300,44.7,43,Nolowfertile
77, Eucalyptus ,1,8.64,335,0.57,52,16.96,250,46.2,44,Nolowfertile
78, Eucalyptus ,2,9.45,630,0.2,34,16.48,200,40.5,41,Nolowfertile
